task_id,task_code,project_id,assigned_user_id,task_name,task_status,priority,created_date,due_date,completed_date
1,TSK00001,1,18,Testing Module,pending,medium,2024-10-16,2024-12-09,
2,TSK00002,1,6,Security Testing,completed,medium,2024-10-16,2024-10-24,2024-11-03
3,TSK00003,1,33,Security Testing,pending,low,2024-10-15,2024-11-03,
4,TSK00004,1,27,Testing Module,completed,medium,2024-11-04,2024-11-28,2024-11-22
5,TSK00005,1,45,Write Documentation,completed,medium,2024-11-07,2024-11-23,2024-11-13
6,TSK00006,1,7,Create Database Schema,completed,medium,2024-10-19,2024-11-17,2024-10-30
7,TSK00007,1,17,Design User Interface,in progress,high,2024-11-09,2024-12-20,
8,TSK00008,1,6,Deploy Application,completed,medium,2024-10-16,2024-12-02,2024-10-29
9,TSK00009,1,37,Testing Module,completed,high,2024-11-01,2024-11-10,2024-11-13
10,TSK00010,1,19,Create Database Schema,pending,high,2024-11-03,2024-11-16,
11,TSK00011,1,41,Create Dashboard,in progress,low,2024-10-25,2024-11-23,
12,TSK00012,1,39,Develop API,completed,medium,2024-10-19,2024-11-10,2024-10-22
13,TSK00013,1,18,Deploy Application,in progress,medium,2024-10-18,2024-11-14,
14,TSK00014,1,15,Design User Interface,completed,high,2024-11-08,2024-12-10,2024-11-10
15,TSK00015,1,59,Security Testing,pending,high,2024-10-21,2024-11-17,
16,TSK00016,1,57,Optimize Performance,completed,low,2024-10-19,2024-11-03,2024-11-01
17,TSK00017,1,17,Security Testing,completed,medium,2024-10-20,2024-12-03,2024-11-07
18,TSK00018,1,9,Deploy Application,in progress,medium,2024-10-25,2024-12-19,
19,TSK00019,1,41,Develop API,completed,high,2024-10-14,2024-11-17,2024-10-19
20,TSK00020,1,25,Security Testing,pending,critical,2024-11-01,2024-12-11,
21,TSK00021,1,44,Create Database Schema,completed,medium,2024-10-21,2024-12-01,2024-10-22
22,TSK00022,1,42,Create Dashboard,in progress,low,2024-11-06,2024-12-10,
23,TSK00023,1,47,Fix Bugs,in progress,critical,2024-10-18,2024-12-12,
24,TSK00024,1,7,Fix Bugs,in progress,high,2024-10-18,2024-11-26,
25,TSK00025,1,24,Develop API,pending,medium,2024-11-01,2024-12-27,
26,TSK00026,1,1,Security Testing,in progress,medium,2024-11-11,2024-11-19,
27,TSK00027,1,16,Design User Interface,completed,medium,2024-10-16,2024-11-28,2024-10-26
28,TSK00028,1,32,Create Database Schema,pending,critical,2024-10-15,2024-11-25,
29,TSK00029,1,43,Optimize Performance,pending,high,2024-11-06,2024-11-23,
30,TSK00030,1,39,Write Documentation,in progress,critical,2024-10-21,2024-12-01,
31,TSK00031,2,26,Create Dashboard,completed,medium,2025-08-21,2025-09-30,2025-08-31
32,TSK00032,2,15,Create Database Schema,pending,medium,2025-08-12,2025-09-25,
33,TSK00033,2,15,Design User Interface,pending,low,2025-08-15,2025-10-01,
34,TSK00034,2,58,Design User Interface,pending,high,2025-07-30,2025-08-10,
35,TSK00035,2,43,Optimize Performance,pending,medium,2025-08-14,2025-08-29,
36,TSK00036,2,37,Optimize Performance,completed,medium,2025-08-21,2025-09-27,2025-09-09
37,TSK00037,2,7,Create Database Schema,in progress,medium,2025-08-23,2025-09-21,
38,TSK00038,2,56,Design User Interface,in progress,medium,2025-08-11,2025-09-28,
39,TSK00039,2,47,Create Dashboard,pending,high,2025-08-01,2025-08-14,
40,TSK00040,2,35,Optimize Performance,pending,low,2025-08-05,2025-08-23,
41,TSK00041,2,56,Create Database Schema,in progress,medium,2025-08-06,2025-09-17,
42,TSK00042,2,35,Design User Interface,pending,critical,2025-08-01,2025-09-25,
43,TSK00043,2,27,Optimize Performance,pending,medium,2025-08-25,2025-09-26,
44,TSK00044,2,25,Design User Interface,pending,critical,2025-08-26,2025-09-18,
45,TSK00045,2,19,Write Documentation,completed,medium,2025-08-27,2025-10-19,2025-09-11
46,TSK00046,2,46,Optimize Performance,in progress,low,2025-08-23,2025-09-17,
47,TSK00047,2,48,Deploy Application,completed,low,2025-08-04,2025-08-31,2025-08-23
48,TSK00048,2,31,Deploy Application,pending,high,2025-07-30,2025-09-08,
