project_id,project_code,company_id,created_by,project_name,project_status,priority,start_date,due_date
1,PRJ0001,1,2,HR Management Portal,Active,Low,2024-10-12,2025-01-02
2,PRJ0002,1,48,Security Monitoring System,Planning,Medium,2025-07-28,2025-09-11
3,PRJ0003,1,14,Payment Integration System,Active,Low,2024-10-02,2025-02-10
4,PRJ0004,1,42,Security Monitoring System,Active,Medium,2025-08-17,2026-02-05
5,PRJ0005,1,56,Customer Analytics Platform,Completed,Low,2025-10-04,2026-06-07
6,PRJ0006,1,18,Mobile App Redesign,Active,High,2025-02-06,2025-04-29
7,PRJ0007,1,25,AI Chat Assistant,Active,Medium,2024-10-02,2025-03-16
8,PRJ0008,1,3,Cloud Migration Project,Active,Critical,2025-10-03,2026-05-14
9,PRJ0009,1,36,HR Management Portal,Completed,Medium,2024-09-25,2025-04-28
10,PRJ0010,1,13,AI Chat Assistant,Planning,Medium,2025-06-07,2025-12-02
11,PRJ0011,1,55,Payment Integration System,Completed,Medium,2024-09-25,2025-06-14
12,PRJ0012,1,54,Marketing Automation Tool,Active,Medium,2025-07-07,2025-12-20
13,PRJ0013,1,60,AI Chat Assistant,Completed,Low,2025-08-10,2026-01-12
14,PRJ0014,1,30,Sales Dashboard,Active,High,2024-11-07,2025-09-18
15,PRJ0015,1,44,Marketing Automation Tool,Completed,High,2024-12-06,2025-05-02
16,PRJ0016,2,81,Sales Dashboard,Active,Medium,2024-09-12,2025-07-29
17,PRJ0017,2,81,Payment Integration System,Completed,Medium,2024-10-18,2025-10-12
18,PRJ0018,2,70,HR Management Portal,Active,High,2024-03-18,2025-01-17
19,PRJ0019,2,88,Data Warehouse Setup,Active,Medium,2023-12-09,2024-03-18
20,PRJ0020,2,92,AI Chat Assistant,Completed,High,2024-04-13,2024-07-30
21,PRJ0021,3,118,Sales Dashboard,Completed,Medium,2024-07-12,2025-06-12
22,PRJ0022,3,109,HR Management Portal,On Hold,High,2024-12-17,2025-01-21
23,PRJ0023,3,116,AI Chat Assistant,Completed,Medium,2025-04-05,2025-09-18
24,PRJ0024,3,113,Marketing Automation Tool,Active,Medium,2025-05-20,2026-02-06
25,PRJ0025,3,123,HR Management Portal,On Hold,High,2024-04-23,2025-02-06
26,PRJ0026,3,96,HR Management Portal,Completed,Medium,2025-08-02,2025-12-11
27,PRJ0027,3,104,Mobile App Redesign,Active,High,2024-07-09,2025-05-06
28,PRJ0028,3,93,Data Warehouse Setup,Active,Low,2025-08-05,2026-03-08
29,PRJ0029,3,119,HR Management Portal,Active,Medium,2025-07-15,2026-05-31
30,PRJ0030,3,95,Cloud Migration Project,Completed,Critical,2024-06-01,2025-03-30
31,PRJ0031,3,97,Mobile App Redesign,Completed,High,2025-05-19,2025-09-10
32,PRJ0032,3,109,Data Warehouse Setup,Active,Medium,2024-09-04,2025-07-07
