company_id,company_code,company_name,industry,city,state,employee_count,registration_date,company_status
1,CMP001,Nexora Technologies,SaaS,Chennai,Tamil Nadu,224,2024-07-17,Active
2,CMP002,CloudMint Labs,AI,Bengaluru,Karnataka,859,2023-06-28,Active
3,CMP003,BrightStack Systems,SaaS,Ahmedabad,Gujarat,787,2024-03-23,Active
4,CMP004,CodeSphere Tech,SaaS,Hyderabad,Telangana,4617,2024-02-12,Active
5,CMP005,DataSprint Solutions,HRTech,Chennai,Tamil Nadu,3456,2024-03-27,Active
6,CMP006,PixelForge Labs,Cyber Security,Mumbai,Maharashtra,73,2023-11-23,Active
7,CMP007,WorkNest Technologies,EdTech,Mumbai,Maharashtra,1293,2024-03-16,Inactive
8,CMP008,ElevateSoft,SaaS,Mumbai,Maharashtra,779,2025-02-17,Active
9,CMP009,CoreVista Solutions,EdTech,Delhi,Delhi,4965,2024-06-25,Active
10,CMP010,TaskNova Systems,HealthTech,Chennai,Tamil Nadu,4412,2023-09-13,Inactive
