comment_id,task_id,user_id,comment_text,commented_at
1,1,18,Need some improvements,2024-10-16 09:00:00
2,1,18,Bug fixed,2024-10-23 05:00:00
3,1,18,Need some improvements,2024-11-02 03:00:00
4,1,18,Documentation updated,2024-10-29 02:00:00
5,1,18,Task completed successfully,2024-10-18 07:00:00
6,2,6,Waiting for confirmation,2024-11-04 01:00:00
7,3,33,Bug fixed,2024-11-04 23:00:00
8,3,33,Waiting for confirmation,2024-10-28 08:00:00
9,3,33,Approved,2024-11-02 09:00:00
10,3,33,Task completed successfully,2024-10-20 23:00:00
11,4,27,Testing is in progress,2024-11-12 05:00:00
12,4,27,Bug fixed,2024-11-14 04:00:00
13,4,27,Need some improvements,2024-11-16 04:00:00
14,5,45,Testing is in progress,2024-11-26 09:00:00
15,5,45,Task completed successfully,2024-11-21 18:00:00
16,7,17,Need some improvements,2024-11-26 10:00:00
17,7,17,Documentation updated,2024-11-20 19:00:00
18,7,17,Bug fixed,2024-11-11 02:00:00
19,8,6,Bug fixed,2024-10-25 03:00:00
20,8,6,Bug fixed,2024-10-19 13:00:00
21,8,6,Code review completed,2024-10-30 21:00:00
22,8,6,Testing is in progress,2024-10-21 12:00:00
23,8,6,Testing is in progress,2024-10-22 22:00:00
24,9,37,Need some improvements,2024-11-20 21:00:00
25,9,37,Working on this task,2024-11-18 08:00:00
26,10,19,Approved,2024-11-15 09:00:00
27,11,41,Waiting for confirmation,2024-11-01 22:00:00
28,11,41,Testing is in progress,2024-10-26 08:00:00
29,11,41,Task completed successfully,2024-11-04 13:00:00
30,11,41,Code review completed,2024-10-27 07:00:00
31,11,41,Documentation updated,2024-11-04 07:00:00
32,12,39,Approved,2024-10-31 21:00:00
33,12,39,Approved,2024-10-23 09:00:00
34,12,39,Working on this task,2024-10-26 18:00:00
35,12,39,Waiting for confirmation,2024-10-27 19:00:00
36,12,39,Changes requested,2024-11-06 13:00:00
37,13,18,Bug fixed,2024-10-22 17:00:00
38,13,18,Approved,2024-10-20 02:00:00
39,15,59,Working on this task,2024-11-03 20:00:00
40,17,17,Changes requested,2024-11-08 15:00:00
41,17,17,Waiting for confirmation,2024-10-28 18:00:00
42,17,17,Task completed successfully,2024-10-23 22:00:00
43,18,9,Code review completed,2024-11-14 11:00:00
44,18,9,Need some improvements,2024-11-03 14:00:00
45,18,9,Working on this task,2024-11-08 01:00:00
46,18,9,Code review completed,2024-11-10 06:00:00
47,19,41,Need some improvements,2024-11-03 10:00:00
48,19,41,Waiting for confirmation,2024-11-02 07:00:00
49,19,41,Working on this task,2024-10-25 06:00:00
50,19,41,Waiting for confirmation,2024-10-30 01:00:00
51,20,25,Testing is in progress,2024-11-16 01:00:00
52,20,25,Need some improvements,2024-11-12 10:00:00
53,20,25,Bug fixed,2024-11-02 08:00:00
54,20,25,Documentation updated,2024-11-03 03:00:00
55,21,44,Approved,2024-10-23 18:00:00
56,21,44,Working on this task,2024-10-25 22:00:00
57,21,44,Approved,2024-11-07 06:00:00
58,21,44,Code review completed,2024-11-06 20:00:00
59,21,44,Changes requested,2024-10-27 18:00:00
60,22,42,Bug fixed,2024-11-15 13:00:00
61,22,42,Testing is in progress,2024-11-20 17:00:00
62,22,42,Approved,2024-11-09 08:00:00
63,22,42,Bug fixed,2024-11-08 11:00:00
64,22,42,Task completed successfully,2024-11-24 18:00:00
65,23,47,Documentation updated,2024-10-25 01:00:00
66,25,24,Task completed successfully,2024-11-08 03:00:00
67,25,24,Task completed successfully,2024-11-11 03:00:00
68,25,24,Waiting for confirmation,2024-11-08 09:00:00
69,25,24,Approved,2024-11-07 18:00:00
70,25,24,Working on this task,2024-11-19 19:00:00
71,26,1,Bug fixed,2024-11-26 14:00:00
72,26,1,Bug fixed,2024-11-14 04:00:00
73,26,1,Changes requested,2024-11-22 14:00:00
74,27,16,Approved,2024-10-17 22:00:00
75,27,16,Need some improvements,2024-10-17 13:00:00
76,27,16,Testing is in progress,2024-10-19 08:00:00
77,28,32,Bug fixed,2024-11-01 15:00:00
78,29,43,Changes requested,2024-11-11 09:00:00
79,30,39,Bug fixed,2024-10-23 15:00:00
80,30,39,Waiting for confirmation,2024-10-24 02:00:00
81,30,39,Waiting for confirmation,2024-10-21 03:00:00
82,31,26,Working on this task,2025-09-03 16:00:00
83,32,15,Bug fixed,2025-08-24 02:00:00
84,32,15,Working on this task,2025-08-24 01:00:00
85,32,15,Changes requested,2025-08-20 15:00:00
86,33,15,Changes requested,2025-09-01 22:00:00
87,33,15,Approved,2025-08-19 07:00:00
88,34,58,Bug fixed,2025-07-31 19:00:00
89,34,58,Waiting for confirmation,2025-07-31 11:00:00
90,37,7,Approved,2025-09-08 17:00:00
91,37,7,Working on this task,2025-08-24 17:00:00
92,37,7,Need some improvements,2025-08-28 03:00:00
93,37,7,Documentation updated,2025-08-25 22:00:00
94,38,56,Changes requested,2025-08-14 19:00:00
95,39,47,Documentation updated,2025-08-20 02:00:00
96,40,35,Need some improvements,2025-08-18 22:00:00
97,40,35,Documentation updated,2025-08-23 17:00:00
98,40,35,Testing is in progress,2025-08-13 07:00:00
99,40,35,Testing is in progress,2025-08-12 09:00:00
100,41,56,Working on this task,2025-08-26 10:00:00
101,41,56,Approved,2025-08-16 03:00:00
